timestamp,bn_index,bn_constructed_index
23137,56660.15,55391.1309505409
23138,56650.25,55375.81920349009
23139,56650.25,55382.61196005526
23140,56656.7,55386.393540152574
23141,56668.0,55400.303148584186
23142,56690.85,55424.4896885783
23143,56689.7,55422.927609429615
23144,56673.65,55409.33146035442
23145,56685.45,55414.28138896195
23146,56675.9,55403.355464084096
23147,56673.75,55404.946240216086
23148,56666.75,55406.74030336989
23149,56649.2,55383.36851688858
23150,56635.65,55362.98563159434
23151,56623.65,55356.083505407376
23152,56612.95,55346.79551603972
23153,56623.0,55357.27232309452
23154,56613.5,55350.08804335115
23155,56620.7,55363.080552385356
23156,56592.2,55327.44772892753
23157,56582.6,55312.6523268985
23158,56589.55,55316.48849146761
23159,56594.1,55315.69581255738
23160,56599.3,55321.836766312306
23161,56611.2,55331.75247710558
23162,56604.05,55321.16509635976
23163,56613.75,55326.78308271215
23164,56596.0,55305.90632835512
23165,56601.25,55310.50587281652
23166,56619.05,55329.8968057428
23167,56629.05,55338.22836278488
23168,56634.55,55344.33740870518
23169,56619.0,55334.86921030934
23170,56616.35,55329.9232952659
23171,56612.75,55327.61248573391
23172,56591.9,55312.27364712543
23173,56586.8,55306.08292517563
23174,56606.7,55329.34313457489
23175,56607.25,55328.94418630312
23176,56604.55,55316.58983396119
23177,56609.8,55328.150102645435
23178,56597.55,55321.86927618153
23179,56623.4,55358.42843023425
23180,56626.2,55361.763501325164
23181,56613.95,55339.815526709186
23182,56594.75,55311.37119723699
23183,56579.95,55302.87167253727
23184,56582.3,55311.58973580236
23185,56573.9,55298.90928137713
23186,56584.35,55302.75989477702
23187,56606.2,55332.99768536836
23188,56592.35,55316.533443385546
23189,56581.5,55304.9808004731
23190,56566.75,55286.810994424945
23191,56556.1,55272.619834471545
23192,56562.7,55275.68619744581
23193,56569.55,55280.36661522388
23194,56564.05,55284.38660102886
23195,56580.55,55299.60523339249
23196,56575.7,55289.978900571
23197,56575.2,55290.28714229407
23198,56569.55,55281.38525779307
23199,56566.9,55275.63823535479
23200,56566.0,55271.36679975878
23201,56564.45,55271.2502057216
23202,56577.65,55292.848799582454
23203,56583.95,55295.251921088784
23204,56571.1,55284.41389326477
23205,56577.25,55294.67517192726
23206,56579.75,55288.68392411335
23207,56579.25,55292.077994596584
23208,56576.8,55286.35786303778
23209,57002.0,55800.464921472834
23210,56900.15,55572.24403405439
23211,56948.2,55641.93214959965
23212,56985.15,55678.24306471261
23213,56939.15,55615.87709483765
23214,56851.15,55502.23302727712
23215,56870.25,55529.03520699679
23216,56878.5,55545.70173261036
23217,56866.7,55560.496933961185
23218,56823.85,55520.927004797064
23219,56805.2,55504.677287815524
23220,56869.75,55570.86999038394
23221,56882.85,55586.420143142415
23222,56875.75,55579.992620910576
23223,56824.2,55552.07446969223
23224,56810.3,55537.44542989524
23225,56793.25,55520.75863578295
23226,56813.25,55542.383719166886
23227,56840.45,55570.10701184807
23228,56851.4,55572.81315744414
23229,56857.05,55578.522251701645
23230,56855.8,55581.47623488105
23231,56883.8,55611.13627291985
23232,56879.05,55602.55968778935
23233,56880.45,55587.72896639623
23234,56866.2,55564.17355935722
23235,56854.8,55551.570165362755
23236,56896.5,55602.044145480395
23237,56914.65,55601.47682819452
23238,56922.65,55600.99841135349
23239,56923.85,55604.96521743414
23240,56962.3,55628.81220990518
23241,56952.65,55600.1132197907
23242,56910.8,55584.243788007865
23243,56936.95,55607.71270274045
23244,56936.55,55621.90205659002
23245,56912.35,55606.99848900844
23246,56924.9,55620.60908691442
23247,56928.35,55619.499737796505
23248,56905.5,55618.024351632455
23249,56921.2,55626.41229925013
23250,56918.2,55608.36691368916
23251,56923.45,55598.975173689454
23252,56909.15,55583.633324907896
23253,56906.75,55581.06584795158
23254,56934.45,55629.802757525664
23255,56945.7,55634.117539614
23256,56951.35,55637.37856044722
23257,56941.9,55634.117539614
23258,56948.15,55637.57081016773
23259,56967.1,55670.28797998336
23260,56960.75,55667.810406862925
23261,56952.75,55651.175588405764
23262,56957.95,55668.22761685136
23263,56965.95,55655.056504214605
23264,56970.75,55644.33185957649
23265,56983.6,55646.78996691104
23266,56972.5,55639.24045283435
23267,56974.5,55646.86241174308
23268,56980.6,55662.779203582315
23269,56996.05,55687.65728067129
23270,56996.75,55674.43118220632
23271,56974.9,55664.60898745661
23272,56967.85,55652.35035861855
23273,56962.6,55651.498680316006
23274,56977.8,55666.32277932835
23275,56990.3,55675.68582234473
23276,56986.95,55677.38335928186
23277,56995.95,55678.380729961325
23278,56994.9,55666.56941284245
23279,57005.75,55669.650023969276
23280,56975.95,55643.854847482915
23281,56977.95,55646.368743358486
23282,56965.25,55638.37251959719
23283,56949.95,55623.720000450216
23284,56954.9,55625.95254548221
23285,56955.5,55634.878310689615
23286,56967.1,55634.44946136527
23287,56971.9,55637.28905796774
23288,56980.0,55644.74023972391
23289,56967.3,55645.78697724183
23290,56956.35,55634.429995579376
23291,56966.35,55657.906736761965
23292,56980.5,55673.460501728136
23293,56967.45,55664.93067461944
23294,56975.45,55668.23484126676
23295,56983.8,55670.92433057181
23296,56989.5,55675.283462543455
23297,56990.55,55676.60593191522
23298,56999.85,55682.726817849645
23299,57004.95,55678.95828183564
23300,57019.4,55675.1241240486
23301,57005.9,55668.6089054411
23302,57005.95,55666.40004043734
23303,57010.3,55667.99824166292
23304,57002.15,55670.629333610275
23305,57019.35,55675.26660557424
23306,57026.0,55680.88238446635
23307,57017.45,55670.66364958336
23308,57005.2,55663.05734357461
23309,57016.25,55674.91983363578
23310,57002.3,55660.68653125929
23311,56997.35,55656.24592393637
23312,57003.25,55665.643483604006
23313,57008.45,55665.028204227114
23314,56995.7,55650.04195722502
23315,57011.4,55667.91375613857
23316,57023.25,55677.5890544421
23317,57017.0,55673.265442512755
23318,57014.7,55667.66591855525
23319,57021.85,55671.36381584102
23320,57006.4,55661.74731625159
23321,56996.55,55660.4079899106
23322,56975.05,55640.82882082789
23323,56976.4,55645.05389975852
23324,56961.2,55630.69437079103
23325,56951.4,55625.50784257966
23326,56949.25,55622.852669247695
23327,56950.9,55619.25129817858
23328,56969.7,55631.88961018072
23329,56946.75,55607.06812434562
23330,56935.95,55600.850712194515
23331,56929.95,55596.767111398505
23332,56928.05,55603.932928747
23333,56928.95,55596.23069855621
23334,56919.95,55591.55248823841
23335,56919.45,55592.06702715634
23336,56931.25,55601.86493984321
23337,56907.1,55576.4048959594
23338,56920.15,55584.88957047195
23339,56913.5,55587.428149766754
23340,56921.05,55583.52435664251
23341,56913.65,55584.760735064265
23342,56890.5,55570.728110892924
23343,56876.95,55553.54965517807
23344,56871.75,55546.31259706677
23345,56871.95,55553.71079977679
23346,56859.5,55545.82093546421
23347,56877.4,55556.9828579113
23348,56889.05,55569.53768778013
23349,56901.95,55580.55793141441
23350,56911.0,55585.5144824027
23351,56916.05,55590.615722376904
23352,56913.55,55586.49339068728
23353,56928.15,55602.24281690347
23354,56932.55,55608.62719332121
23355,56928.65,55595.04930596267
23356,56904.45,55575.59656414918
23357,56896.45,55569.31874785835
23358,56904.2,55572.51936455183
23359,56928.8,55584.11595599121
23360,56905.15,55565.152868998215
23361,56917.05,55574.80127642227
23362,56907.75,55568.7056759417
23363,56911.1,55569.2073714545
23364,56907.4,55571.071471301875
23365,56899.1,55559.25674265353
23366,56898.45,55563.20408294828
23367,56904.65,55565.04490412386
23368,56918.95,55583.667640880965
23369,56903.2,55567.039244126376
23370,56896.45,55563.57032067264
23371,56907.3,55571.81377998261
23372,56908.5,55571.87819768648
23373,56907.4,55571.409614077515
23374,56921.85,55574.74528720303
23375,56917.8,55579.92619642469
23376,56905.6,55564.28132355337
23377,56923.2,55572.78626656465
23378,56939.55,55594.37843872294
23379,56944.75,55585.43681993732
23380,56930.5,55576.59313211581
23381,56936.4,55587.51845495905
23382,56924.05,55576.66778440813
23383,56931.1,55581.944617811794
23384,56934.7,55586.24294428732
23385,56930.8,55581.0475862349
23386,56931.75,55584.14364958353
23387,56933.25,55584.315028770696
23388,56935.6,55588.088782418
23389,56934.65,55585.56364856297
23390,56926.85,55579.80819764007
23391,56932.65,55587.79258138725
23392,56930.05,55581.9014719977
23393,56928.1,55580.63559387979
23394,56929.8,55583.984913123255
23395,56921.15,55577.78235115936
23396,56914.95,55575.116341204324
23397,56924.6,55580.60629486183
23398,56952.15,55598.63000717665
23399,56941.15,55589.602096762836
